Numero,Nimi,Valmistaja,Pullokoko,Hinta,Litrahinta,Uutuus,Hinnastojärjestyskoodi,Tyyppi,Alatyyppi,Erityisryhmä,Oluttyyppi,Valmistusmaa,Alue,Vuosikerta,Etikettimerkintöjä,Huomautus,Rypäleet,Luonnehdinta,Pakkaustyyppi,Suljentatyyppi,Alkoholi-%,"Hapot g/l","Sokeri g/l",Kantavierrep-%,"Väri EBC","Katkerot EBU","Energia kcal/100 ml",Valikoima,EAN
906458,"Fair & Square Red 2023 kartonkitölkki","La Riojana","1 l",11.29,11.29,,110,punaviinit,"Mehevä & Hilloinen",,,Argentiina,"La Rioja",2023,"Famatina Valley","Vegaaneille soveltuva tuote","Syrah, ","Sinipunainen, täyteläinen, keskitanniininen, boysenmarjainen, mustaherukkainen, tumman kirsikkainen, kevyen vaniljainen, hennon toffeinen",kartonkitölkki,muovisuljin,13.0,5.2,4,,,,80.0,vakiovalikoima,7350084980013
440567,"Alamos Malbec Organic 2023",Alamos,"0.75 l",12.78,16.91,,110,punaviinit,"Mehevä & Hilloinen",,,Argentiina,Mendoza,2023,Mendoza,"Vegaaneille soveltuva tuote","Malbec, ","Tummanpunainen, täyteläinen, keskitanniininen, luumuinen, mustikkainen, karhunvatukkainen, kevyen kukkainen",pullo,"metallinen kierrekapseli",13.5,5.2,2,,,,80.0,vakiovalikoima,7794450004871
939055,"Altos Las Hormigas Clásico Malbec 2021","Altos Las Hormigas","0.75 l",20.98,27.97,,110,punaviinit,"Mehevä & Hilloinen","Ympäristövastuullinen pakkaus",,Argentiina,Mendoza,2021,Mendoza,"Saattaa sisältää sakkaa","Malbec, ","Tummanpunainen, täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen",pullo,luonnonkorkki,13.5,5.5,3,,,,80.0,tilausvalikoima,7798051950032
945913,"Altos Las Hormigas Terroir Malbec 2018","Altos Las Hormigas","0.75 l",23.98,31.97,,110,punaviinit,"Vivahteikas & Kehittynyt",,,Argentiina,Mendoza,2018,"Uco Valley, Mendoza","Saattaa sisältää sakkaa","Malbec, ","Tummanpunainen, täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen",pullo,luonnonkorkki,13.5,5.5,2,,,,80.0,tilausvalikoima,7798051950025
941387,"Argento Reserva Cabernet Franc 2014","Bodega Argento","0.75 l",14.99,19.99,,110,punaviinit,"Mehevä & Hilloinen",,,Argentiina,Mendoza,2014,Mendoza,,"Cabernet Franc, ","Runsaanpunainen, täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen",pullo,luonnonkorkki,14.0,5.1,4,,,,80.0,tilausvalikoima,7798130462425
924067,"Beefsteak Club Malbec 2022","E. I. Wines","0.75 l",14.99,19.85,,110,punaviinit,"Mehevä & Hilloinen",,,Argentiina,Mendoza,2022,,"Vegaaneille soveltuva tuote","Malbec, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen",pullo,"metallinen kierrekapseli",13.5,5.2,3,,,,80.0,tilausvalikoima,5011932012325
903027,"Beefsteak Club Reserve Malbec 2020","Andean Vineyards","0.75 l",28.48,37.97,,110,punaviinit,"Vivahteikas & Kehittynyt",,,Argentiina,Mendoza,2020,"Uco Valley",,"Malbec, ","Rubiininpunainen, täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen",pullo,luonnonkorkki,14.5,5.1,3,,,,80.0,tilausvalikoima,5011932012431
956585,"Beefsteak Club The Mini Malbec 2022","E I Wines","0.187 l",4.29,22.94,,110,punaviinit,"Mehevä & Hilloinen","Vegaaneille soveltuva tuote",,Argentiina,Mendoza,2022,Mendoza,"Vegaaneille soveltuva tuote","Malbec, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, mustaherukkainen, karpaloinen, kevyen karhunvatukkainen, hennon mustapippurinen",pullo,"metallinen kierrekapseli",13.5,4.9,0,,,,80.0,vakiovalikoima,5011932012547
446837,"BenMarco Malbec 2020","Dominio del Plata","0.75 l",24.89,33.05,,110,punaviinit,"Mehevä & Hilloinen",,,Argentiina,Mendoza,2020,"Valle de Uco","Vegaaneille soveltuva tuote","Malbec, ","Runsaanpunainen, täyteläinen, tanniininen, herukkainen, karhunvatukkainen, kirsikkainen, pippurinen, kaakaoinen",pullo,luonnonkorkki,14.5,5.6,0,,,,80.0,vakiovalikoima,7798068480539
004551,"Caballo de Mendoza",Altia,"0.75 l",9.59,12.65,,110,punaviinit,"Mehevä & Hilloinen",,,Argentiina,Mendoza,,Mendoza,,"Cabernet, Sangiovese, Malbec, ","Punainen, täyteläinen, keskitanniininen, tumman kirsikkainen, karpaloinen, luumuinen, yrttinen, mausteinen",pullo,"metallinen kierrekapseli",14.0,5.3,0,,,,80.0,vakiovalikoima,6412700455150
